"ID","LINK","SOCIAL_NETWORK_NAME","INFLUENCER_ID","SOCIAL_NETWORK_USER_ID"
"6367","https://www.instagram.com/nasaclimatechange","Instagram","6317","1651393676"
"6368","https://www.instagram.com/idafrosk/","Instagram","6318","582820"
"6369","https://www.instagram.com/bigmammagroup","Instagram","6319","1662850454"
"6370","https://www.instagram.com/diaryofafitmommyofficial/","Instagram","6320","1752306"
"6371","https://www.instagram.com/youcookcuisine","Instagram","6321","2150779000"
"6372","https://www.instagram.com/jannid/","Instagram","6322","10615912"
"6373","https://www.instagram.com/joelsartore","Instagram","6323","225429667"
"6374","https://www.instagram.com/gpbomgourmet/","Instagram","6324","638688991"
"6375","https://www.instagram.com/helenabordon/","Instagram","6325","20744443"
"6376","https://www.instagram.com/lilly/","Instagram","6326","43947025"
"6377","https://www.instagram.com/fastgoodcuisine","Instagram","6327","427096043"
"6378","https://www.instagram.com/johnrplatt","Instagram","6328","1976030141"
"6379","https://www.instagram.com/fernandoecintia/","Instagram","6329","21087035"
"6380","https://www.instagram.com/jeanimbert","Instagram","6330","183276110"
"6381","https://www.instagram.com/whatsgabycookin","Instagram","6331","4081885"
"6382","https://www.instagram.com/pernilleteisbaek/","Instagram","6332","175669251"
"6383","https://www.instagram.com/yoga_girl/","Instagram","6333","22449470"
"6384","https://www.instagram.com/cookingformybaby","Instagram","6334","3615085031"
"6385","https://www.instagram.com/ilhan1077/","Instagram","6335","16383271"
"6386","https://www.instagram.com/idadarksky","Instagram","6336","1476276931"
"6387","https://www.instagram.com/carodaur/","Instagram","6337","7952545"
"6388","https://www.instagram.com/ournextflight/","Instagram","6338","7045123000"
"6389","https://www.instagram.com/charlotttequeen/","Instagram","6339","1551696870"
"6390","https://www.instagram.com/eakinwale/","Instagram","6340","25821381"
"6391","https://www.instagram.com/ctilburymakeup/","Instagram","6341","176465776"
"6392","https://www.instagram.com/taylorswift/","Instagram","6342","11830955"
"6393","https://www.instagram.com/rosannapansino/","Instagram","6343","27792763"
"6394","https://www.instagram.com/vincentjmusi/","Instagram","6344","180815125"
"6395","https://www.instagram.com/wellandfull/","Instagram","6345","1825088002"
"6396","https://www.instagram.com/samanthainperson","Instagram","6346","4187136"
"6397","https://www.instagram.com/syattfitness/","Instagram","6347","434365734"
"6398","https://www.instagram.com/laurabiceps/","Instagram","6348","195101119"
"6399","https://www.instagram.com/emilyskyefit/","Instagram","6349","544581347"
"6400","https://www.instagram.com/tv/B_h8zXroAjc","Instagram","6350",
"6451","https://www.instagram.com/daniellemarcan/","Instagram","6401","52108550"
"6452","https://www.instagram.com/yannickalleno","Instagram","6402","1444767289"
"6453","https://www.instagram.com/carls_of_ohio","Instagram","6403","38694821165"
"6454","https://www.instagram.com/bonniehoellein/","Instagram","6404","196635976"
"6455","https://www.instagram.com/rocamoons","Instagram","6405","1962423731"
"6456","https://www.instagram.com/kelseywells/","Instagram","6406","2176093227"
"6457","https://www.instagram.com/toosphexy","Instagram","6407","184360382"
"6458","https://www.instagram.com/msjeanettejenkins/","Instagram","6408","173713116"
"6459","https://www.instagram.com/martinschoeller/","Instagram","6409","220954452"
"6460","https://www.instagram.com/saltyseattle/","Instagram","6410","1532093"
"6461","https://www.instagram.com/davidattenborough","Instagram","6411","42241297565"
"6462","https://www.instagram.com/dronethewhales","Instagram","6412","2274261020"
"6463","https://www.instagram.com/nobread/","Instagram","6413","526770139"
"6464","https://www.instagram.com/ashrod/","Instagram","6414","3956455"
"6465","https://www.instagram.com/the_caterpillar_lab","Instagram","6415","5767145915"
"6466","https://www.instagram.com/kyliejenner/","Instagram","6416","12281817"
"6467","https://www.instagram.com/justinbieber/","Instagram","6417","6860189"
"6468","https://www.instagram.com/rowanrow/","Instagram","6418","3149423320"
