"INFLUENCER_ID","COUNTRY_CODE"
"8019","Cambodia"
"8020","Cambodia"
"8021","Cambodia"
"8022","Cambodia"
"8023","Cambodia"
"8024","Cambodia"
"8025","Cambodia"
"8026","Cambodia"
"8027","Cambodia"
"8028","Cambodia"
"8029","Cambodia"
"8030","Cambodia"
"8031","Cambodia"
"8032","Cameroon"
"8033","Cameroon"
"8034","Cameroon"
"8035","Cameroon"
"8036","Cameroon"
"8037","Cameroon"
"8038","Cameroon"
"8039","Cameroon"
"8040","Cameroon"
"8041","Cameroon"
"8042","Cameroon"
"8043","Cameroon"
"8044","Cameroon"
"8045","Cameroon"
"8046","Cameroon"
"8047","Cameroon"
"8048","Cameroon"
"8049","Cameroon"
"8050","Cameroon"
"8101","Cameroon"
"8102","Cameroon"
"8103","Cameroon"
"8104","Cameroon"
"8105","Cameroon"
"8106","Cameroon"
"8107","Cameroon"
"8108","Cameroon"
"8109","Cameroon"
"8110","Canada"
"8111","Canada"
"8112","Canada"
"8113","Canada"
"8114","Canada"
"8115","Canada"
"8116","Canada"
"8117","Canada"
"8118","Canada"
"8119","Canada"
"8120","Canada"
"8121","Canada"
"8122","Canada"
"8123","Canada"
"8124","Canada"
"8125","Canada"
"8126","Canada"
"8127","Canada"
"8128","Canada"
"8129","Canada"
"8130","Canada"
"8131","Canada"
"8132","Canada"
"8133","Canada"
"8134","Canada"
"8135","Canada"
"8136","Canada"
"8137","Canada"
"8138","Canada"
"8139","Canada"
"8140","Canada"
"8141","Canada"
"8142","Canada"
"8143","Canada"
"8144","Canada"
"8145","Canada"
"8146","Canada"
"8147","Canada"
"8148","Canada"
"8149","Canada"
"8150","Canada"
"8201","Canada"
"8202","Canada"
"8203","Canada"
"8204","Canada"
"8205","Canada"
"8206","Canada"
"8207","Canada"
"8208","Canada"
"8209","Canada"
"8210","Canada"
"8211","Canada"
"8212","Canada"
"8213","Canada"
"8214","Canada"
"8215","Canada"
"8216","Canada"
"8217","Canada"
"8218","Canada"
"8219","Canada"
"8220","Canada"
"8221","Canada"
"8222","Cape Verde"
"8223","Cape Verde"
"8224","Cape Verde"
"8225","Cape Verde"
"8226","Cape Verde"
"8227","Cape Verde"
"8228","Cape Verde"
"8229","Cape Verde"
"8230","Cape Verde"
"8231","Cape Verde"
"8232","Cape Verde"
"8233","Cape Verde"
"8234","Cape Verde"
